marketTick;assetId;buyQuote;sellQuote;date;time
0;THETA-USD;3.514426;3.514426;2022-02-08 02:31:00;1644287606
0;DAI1-USD;0.9962985;0.9962985;2021-12-17 21:56:11;1644287606
0;SAND-USD;4.635052;4.635052;2022-02-08 02:31:00;1644287606
0;ETC-USD;32.421288;32.421288;2022-02-08 02:31:00;1644287606
0;ATOM1-USD;21.69372;21.69372;2021-12-17 21:56:10;1644287606
0;HBAR-USD;0.26188183;0.26188183;2022-02-08 02:31:00;1644287606
0;FTM-USD;2.3054707;2.3054707;2022-02-08 02:31:00;1644287606
0;HNT1-USD;33.9163;33.9163;2021-12-17 21:57:08;1644287606
0;GRT2-USD;0.59516865;0.59516865;2021-12-17 21:56:08;1644287606
0;XTZ-USD;4.2209578;4.2209578;2022-02-08 02:31:00;1644287606
0;XMR-USD;184.1397;184.1397;2022-02-08 02:31:00;1644287606
0;LRC-USD;1.1425835;1.1425835;2022-02-08 02:31:00;1644287606
0;MIOTA-USD;1.0002811;1.0002811;2022-02-08 02:31:00;1644287606
0;EOS-USD;2.7345445;2.7345445;2022-02-08 02:31:00;1644287606
0;FLOW1-USD;8.480893;8.480893;2021-12-17 21:57:08;1644287606
0;ENJ-USD;2.1183069;2.1183069;2022-02-08 02:31:00;1644287606
0;ZEC-USD;127.271416;127.271416;2022-02-08 02:31:00;1644287606
0;CAKE-USD;8.539961;8.539961;2022-02-08 02:31:00;1644287606
0;AAVE-USD;185.21724;185.21724;2022-02-08 02:31:00;1644287606
0;MKR-USD;2273.1895;2273.1895;2022-02-08 02:31:00;1644287606
0;RUNE-USD;4.9938936;4.9938936;2022-02-08 02:31:00;1644287606
0;ONE2-USD;0.20785731;0.20785731;2021-12-17 21:56:11;1644287606
0;KDA-USD;8.551819;8.551819;2022-02-08 02:31:00;1644287606
0;BSV-USD;103.32338;103.32338;2022-02-08 02:31:00;1644287606
0;KSM-USD;202.94179;202.94179;2022-02-08 02:31:00;1644287606
0;CHZ-USD;0.2348558;0.2348558;2022-02-08 02:31:00;1644287606
0;NEO-USD;23.916338;23.916338;2022-02-08 02:31:00;1644287606
0;QNT-USD;153.23003;153.23003;2022-02-08 02:31:00;1644287606
0;AMP1-USD;0.04849663;0.04849663;2021-12-17 21:56:10;1644287606
0;STX1-USD;0.00758939;0.00758939;2022-02-08 02:30:00;1644287606
0;CRV-USD;3.6175613;3.6175613;2022-02-08 02:31:00;1644287606
0;HOT1-USD;0.005772888;0.005772888;2022-02-08 02:31:00;1644287606
0;WAVES-USD;11.073878;11.073878;2022-02-08 02:31:00;1644287606
0;BAT-USD;0.9702717;0.9702717;2022-02-08 02:31:00;1644287606
0;BTT1-USD;0.021984264;0.021984264;2022-02-08 02:30:00;1644287606
0;DASH-USD;116.59486;116.59486;2022-02-08 02:31:00;1644287606
0;AR-USD;40.225677;40.225677;2022-02-08 02:31:00;1644287606
0;CELO-USD;3.5273228;3.5273228;2022-02-08 02:31:00;1644287606
0;TFUEL-USD;0.2197089;0.2197089;2022-02-08 02:31:00;1644287606
0;COMP-USD;4.826E-8;4.826E-8;2022-01-23 18:33:00;1644287606
0;IOTX-USD;0.090921156;0.090921156;2022-02-08 02:31:00;1644287606
0;XEM-USD;0.12075627;0.12075627;2022-02-08 02:31:00;1644287606
0;QTUM-USD;7.442176;7.442176;2022-02-08 02:31:00;1644287606
0;WAXP-USD;0.38587505;0.38587505;2022-02-08 02:31:00;1644287606
0;TUSD-USD;0.9998115;0.9998115;2022-02-08 02:31:00;1644287606
0;DCR-USD;71.5912;71.5912;2022-02-08 02:31:00;1644287606
0;ZEN-USD;47.822536;47.822536;2022-02-08 02:31:00;1644287606
0;CTC1-USD;0.0037273443;0.0037273443;2022-02-08 02:30:00;1644287606
0;ANKR-USD;0.08916357;0.08916357;2022-02-08 02:31:00;1644287606
